level,title,author,journal,year,doi,source,pdf_url
L1,"Thermal and Chemical Characterisation of Reprocessed PET: A Study on Commercial, Recycled, Bottle-Grade and Textile Blend.",Susana Gomes,"Materials (Basel, Switzerland)",2025,10.3390/ma18184394,PubMed,
L1,"Enhancement of Mechanical, Thermal, and Barrier Behavior of Sustainable PECF Copolyester Nanocomposite Films Using Polydopamine-Functionalized MXene Fillers.",Mohammad Raza Miah,Langmuir : the ACS journal of surfaces and colloids,2025,10.1021/acs.langmuir.4c04909,PubMed,
L1,"A novel poly (pentylene 2,5-furandicarboxylate-co-pentylene 2,6-naphthalate) polyester derived from bio-based 2,5-Furandicarboxylic acid with superior gas barrier properties.",Junlei Li,Food chemistry,2025,10.1016/j.foodchem.2025.143965,PubMed,
L1,Synthesis of azelaic acid copolyester plasticizers and their application in PVC.,Wanjing Zhang,RSC advances,2024,10.1039/d4ra03174a,PubMed,
L1,The effect of polyethylene glycol sorbitan monostearate on the morphological characteristics and performance of thermoplastic starch/biodegradable polyester blend films.,Rangrong Yoksan,International journal of biological macromolecules,2023,10.1016/j.ijbiomac.2023.123332,PubMed,
L1,Effects of Machine Washing on the Chromatography Parameters of Polyester Fiber Gel Permeation.,Ritsuko Matsushita,ACS omega,2022,10.1021/acsomega.2c04446,PubMed,
L1,Poly(Butylene Adipate/Terephthalate-Co-Glycolate) Copolyester Synthesis Based on Methyl Glycolate with Improved Barrier Properties: From Synthesis to Structure-Property.,Yanning Wang,International journal of molecular sciences,2022,10.3390/ijms231911074,PubMed,
L1,A Facile Fabrication of Lysosome-Targeting pH Fluorescent Nanosensor Based on PEGylated Polyester Block Copolymer.,Lijun Wang,Polymers,2022,10.3390/polym14122420,PubMed,
L1,Blend Miscibility of Poly(ethylene terephthalate) and Aromatic Polyesters from Salicylic Acid.,Hee Joong Kim,The journal of physical chemistry. B,2021,10.1021/acs.jpcb.0c09322,PubMed,
L1,Self-assembly of dextran - b - deoxycholic acid polyester copolymers: Copolymer composition and self-assembly procedure tune the aggregate size and morphology.,Marieta Nichifor,Carbohydrate polymers,2021,10.1016/j.carbpol.2020.117147,PubMed,
L1,Bio-Based PBT-DLA Copolyester as an Alternative Compatibilizer of PP/PBT Blends.,Wojciech Ignaczak,Polymers,2019,10.3390/polym11091421,PubMed,
L1,Effect of Ethylenediaminetetraacetic Acid on Unsaturated Poly(Butylene Adipate-Co-Butylene Itaconate) Copolyester with Low-Melting Point and Controllable Hardness.,Chin-Wen Chen,Polymers,2019,10.3390/polym11040611,PubMed,
L1,The Effect of Different Compatibilizers on the Properties of a Post-Industrial PC/PET Blend.,Eleonora Dal Lago,"Materials (Basel, Switzerland)",2018,10.3390/ma12010049,PubMed,
L1,Forensic Engineering of Advanced Polymeric Materials-Part V: Prediction Studies of Aliphatic⁻Aromatic Copolyester and Polylactide Commercial Blends in View of Potential Applications as Compostable Cosmetic Packages.,Wanda Sikorska,Polymers,2017,10.3390/polym9070257,PubMed,
